错题解析,,,,
题目,考点,解析,章节, 备注
33,,"
业务人员和开发人员通力协作。莫名奇妙的加了一个新变更。项目经理应该如何避免将来再出现这种情况？多交流：
A: 传统管理， B: 传统管理。敏捷就没有管更流程了。
D: 不要因为频繁就不选了。",精讲《敏捷实践指南》11 节,
43,敏捷负责人的职责,"协作。服务式的领导。
A: 可选
B: 雇佣，成本高
C: A 比 C 更好
D: 没说有问题。",,
46,问题流程,"进度问题。记录问题-分析问题
A: A 在 C 的后面
C: 直接更新问题日志
B，D 都是后面的选项",精讲《过程组：实践指南》,
48,敏捷转型,"排除法：
D: 待办事项列表 应该团队一起
A: 确认 PO 不是你的权限
B: 不一定有
",精讲《敏捷实践指南》 23节,
57,团队建设,"“但之前没有和项目团队成员合作过。项目经理注意到团队是由高级和初级专业人员组成的混合体。”    刚开始阶段。 阶梯理论的形成阶段。
A: 1 对 1 会议有点长。 “基于之前的经验指导他们如何更好地完成工作。” 这块不对。没有提到经验
B: 确定领导风格这里有问题，
D: 包含 B 。更优
C: 压制， 不选",精讲《过程组：实践指南》127 ,
59,风险流程,"风险问题， 已经识别过风险了。
D: 先更新风险登记册
A: 先 D 再 A。 逻辑：预计到了资源不足，资源突然离职。风险已经变问题了，文件先行，更新风险登记册。再执行下一个动作。",精讲《过程组：实践指南》105 节,
60,培训,"能力不够，遇到了专家，让专家进行培训

A: 只是声明不行
B: 讨论挑战不够
C: 直接让SME来指导
D: 范围和章程， 也没有培训",精讲《过程组：实践指南》130 节,
64,冲突的解决流程,"题干：来自不同地区的团队成员不同意相互合作。虚拟会议，文化冲突

B: 事业环境因素, 结构和治理不正确， （项目治理是PMO需要做的）。
C: 开会讨论尝试解决冲突",精讲《过程组：实践指南》133 节,
69,索赔管理,"题干里提到了供应商无法在约定的日期交付部分设备。供应商的问题首先看合同。

D: 审查采购协议以应对此情况。（合同)
B: 直接规划剩余迭代，没有分析也没有权利
C: PO才可以， 无权","
精讲《过程组：实践指南》163 节",
72,,"B: 要求团队负责人按照项目经理个人的要求发送。（不如 C 好， C 是和流程相关的）
C: 保证沟通的报告要跟其他的报告达成一致。",,
82,冲突管理,"私下解决，介入解决（时间紧张时再解决）， 公开解决。
优先选 C。
C 不行，再选 （时间紧张时选) D 最后 A",精讲《过程组：实践指南》133节,
85,打造安全的环境,"打造安全的环境
乍一看：虚拟团队，文化冲突， 用排除法

先排除 BC， 看怎么选 A,D

A: 其实正确， 但需要后做
D: 先做 D 再做 A。（先有温度，再讲方法。）
C: 需要资金",精讲《项目管理知识体系第七版》2 节,
89,流程问题,"混合型项目时，第一次迭代就出现大量的障碍。不能只解决障碍，需要从而根本解决问题
批次出现问题，是大问题，需要治本。属于从流程上有问题。

A: 解决核心的流程问题（治本）
B: 延期不行
C: 应该查看风险登记册。这里错了
D: 仅解决这次的问题，治标不治本。",精讲《敏捷实践指南》12 节,
91,产品负责人,"A: 消极
C: 和题干无关。
D: 不能解决相关的影响。

排除法 B。","
精讲《敏捷实践指南》17 节",
92,问题流程,"“客户满意度调查报告中已明确提到两个具体问题”   分析问题，解决问题。
A: 全面验证不是首要去做的。
B: 不选
C: 考量客户对项目是否满意
D: 排除法后选 D",,
94,,"排除法
A: 项目经理发现适合预测，所以需要项目发起人汇报 （正确）
B:  为了迎合公司的要求，违反自己的评判（错误）
C 不能直接使用敏捷
D 不能直接强迫发起人选择",精讲《敏捷实践指南》4 节,
95,进度延期,"传统：赶工（有资源）， 快速跟进（没资源）

A 压缩进度是 赶工+快速跟进。 但题干中说不能使用赶工
B 如果缩范围要走变更
D 不联系发起人",精讲《过程组：实践指南》72  节,
98,干系人管理,"识别干系人，干系人管理

A: 就是干系人管理， 确定干系人，确保参与
B: 也对。但 A 在前 B 在后
C: 干系人的决策不会记录在 风险登记册 或 沟通管理计划（这里错误）
",,
100,,"SPI > 1 进度已经提前, 但成本超支了（CPI = 0,7）。应该先识别原因
A: 先识别原因
B: 增加资源会导致 CPI 进一步降低
C: 在 A 后, 盲目执行可能会导致 CPI 降低
D: 错误",精讲《过程组：实践指南》117节,
104,项目管理生命周期,"项目经理已被任命 启动阶段已经过了。规划阶段应该先做什么
用排除法：
执行顺序：A -> B -> C -> D
A: 先做， 确定项目范围
B: 制定进度计划 A->B
C: 确定资源，属于B
D: KOM 在执行阶段之前在做，在 A后",精讲《过程组：实践指南》7 节,
106,团队速率,"默认按照 2 周迭代来计算
2个迭代，完成80个点， 现在完成了100个， 超前了 25%
超前比例 =（实际 - 计划）/ 计划 ×100%=（100-80）/80×100%=25%，即进度超过计划 25 个百分点。",精讲《敏捷实践指南》33 节,
111,,"突发了一个未知风险。最好选项，管理储备。
排除法
A: 应急储备，项目经理是可以动用的。（不太对，但是可以选）
B: 延期计划 不合适，在没招了才选。（应该考虑先解决问题， 而不是直接执行最后的计划）
C: 上报不会选
D: 找项目发起人，针对影响力强的人，走人际关系， 让他不要调动（人治， 这个不选）",解析：精讲《过程组：实践指南》103 节,题目有错误
120,PMO 的职责,"
A：
C: PMO  管理项目流程。
D: 从外部找资源， 这个一般是往后放",精讲《过程组：实践指南》19 节,
124,,"资源不足，经资源部门核查， 公司内部没资源，组织内部没资源。考察上报
B: 当内部没招的时候，上报发起人从内部找资源
C: 牵扯到培训，都不是短期能解决的。
D: 从先后顺序上，先请示老板找内部资源，找不到了，再开启外部雇佣。

找发起人可能从老板的维度可以协调资源",精讲《过程组：实践指南》125 节,
125,敏捷负责人的职责,"项目发起人在项目评审会议上频繁提出新需求（干扰团队）培训和指导。
D: 相当于培训
B: 敏捷里没有 CCB 变更需求委员会。（传统）
C: 也不对， SM不能排序",,
126,,,,
127,团队章程,"团队章程：
D: 不是 项目章程
",精讲《过程组：实践指南》 85 节,
131,风险流程,"便签：
潜在数值化影响：
B: 定量是量化分析，会产生报告
A: 定性是排序， 题干中要求做定量分析， 定性已经做完了
C: 蒙特卡洛模拟 也是定量的一种工具。通过把一个关键的风险，进行数百次，千次模拟，来看一下详细的指标。  工具不是报告","
精讲《过程组：实践指南》100节",
133,自组织团队,"敏捷。集体决策。
B 没有产品负责人。没有解决问题
C: 全部团队成员 +解决问题， 比较好
D: 没有集体决策。
",,
143,"
项目治理","项目治理：“进入关键执行阶段”， “组织内该领域所有专家已全部分配至其他在执行项目”
B: 找领导，协调资源 （可以商量）
D: 不要培训，来不及",精讲《过程组：实践指南》18 节,
154,,,,
159,引导技术,"A: 达成共识
B CCB 变更控制也是之后的流程， 现在规划阶段还没到
C 边界数据流， 太片面
D: 测试驱动开发，适用于测试开发阶段，不用于规划阶段（还没到）",精讲《过程组：实践指南》51节,
165,估算,"此前公司曾承接过两个境外项目，但均因当地法律法规及相关政策的不熟悉
承接过两个项目，有相似项目， 可以类比

A: 用类比合适
B: 需要计算才选，法律条款不太能计算
C: 需要计算才选，法律条款不太能计算
D: 高风险， 团队有经验
",,
169,风险流程,"先更新风险登记册 - 根本原因分析 - 经验教训登记册

A.上报不对

B. 直接选

C.针对部门分歧及延期风险开展定量风险分析 （C在B后）
D.制定风险应对计划以解决部门分歧及进度延期风险  （D在B后）",精讲《过程组：实践指南》105节,
170,团队章程（基本规则,"会议起冲突，就用团队章程。

直接选：C 举行全员团队会议，要求团队成员遵守基本会议规则",,
176,问题流程,"问题流程：记录问题日志，进行根因，再记录经验教训登记册
A: 进行根本原因分析 先做
B: 记录到经验教训登记册 B 在 A后
C: 是问题不是风险
D:无关",精讲《过程组：实践指南》117节,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,有陌生的知识。但是可以走变更流程来应对
,,,,
,,,,
,,,,
,,,,
