错题解析,,,,
题目,考点,解析,章节, 备注
59,一致性,"运营结果和投诉不一致

沟通协调达成一致",,排除法
62,开会犯错,"总有一位团队成员主持会议。团队对这种情况感到不舒服

敏捷团队应该整个团队共同主持。此组员不理解敏捷的逻辑。

找团队成员见面，等于培训",,类似问题看 6 题
63,引导工具,"“协调跨多个业务部门” 

首选工具是引导

跨部门协同",,
64,预期货币价值(EMV),"指导委员会请项目经理协助作出决策以确定“建造还是购买”。

EMV  就是决策树分析

EMV = p * v",,去看书
65,提升团队绩效,"项目经理需要保持团队的绩效比预计的交付进度提前一步

项目经理通过手段影响项目提升速率。 
提升团队绩效不能靠提升能力来进行。
一般都是削减范围。 
默认大家都是通才。",,排除法做题。
67,,"迭代评审中，高级经理要求对所呈现的功能进行完全的重新设计。
经理是新来的，没有敏捷交付的经验。

说明经理有可能做了错误的决定

先沟通， 了解经理感觉哪里不合理",,排除法做题。
68,士气问题,"团队工作量大， 导致士气下降

标签错误导致测试计划复杂度骤增，团队因额外压力士气低落。需同时解决当前问题并恢复团队信心。通过争取干系人支持（如调整截止日期、补充资源或缩小范围），直接减轻团队压力，为其创造恢复空间。",,
71,组织文化,"“该组织的文化通常不支持变革” 
事业环境因素， 组织讨厌变革

和个人没有太多的关系",,用排除法
72,挣值计算 ,"计算题， 挣值管理的计算题
估算:9,500美元，应急储备:500美元
项目的实际成本(AC):4,500美元
项目的完成百分比:50%
BAC: 9500 + 500
EV: 50% * BAC = 5000
AC: 4500
基于BAC的 TCPI公式:

TCPI
= (BAC-EV) / (BAC-AC)
= (10000-5000) / (10000-4500)
= 0.91",,"重点挣值计算 
EVA ， EV， AC
TCPI"
85,变革管理,"项目经理在一个打算开始使用敏捷交付的组织工作，
但一些业务部门缺乏支持。

缺乏信任。 创造短期成果。
短期内证明项目是有成果的，信任就建立起来了。",,"John 变革八步法
试点项目
创造短期成果"
90,问题处理,"客户打电话来说项目没有为公司创造任何价值

确认--分析--解决

",,用排除法
91,培训,"在实施阶段项目经理注意到项目团队在遵循技术要求的实施方面的能力存在明显的差距

能力不足，要看培训


",,这道题选项都对， 主要看顺序
92,沟通问题,"""意识到这个可交付物被外包给了外部供应商，并且没有被告知""

被外包了，项目经理不知道。 --> 沟通管理计划。

题内的风险登记册 --> 已经开始索赔了，是问题了",,
96,冲突的解决策略,"项目经理试图确定他们的项目团队需要什么资源，但却从团队、发起人和关键干系人那里接收到相互冲突的资源需求
多个关系人起了冲突。大家对资源需求不一致。
冲突管理
先评估",,ABCD 要确定一个最先要做的步骤
105,敏捷,"“第一次发布的范围需要改变” 
敏捷的需求变更，重排代办事项优先级
排除法",,排序不在冲刺计划会议
107,冲刺回顾会议,"“一位资深开发人员正在将一些简单的待办事项重新分配给其他团队成员” 
这个行为是错的。 

错误的敏捷行为，放在冲刺回顾会议上解决。",,
114,风险,"团队中就这一个人知道怎么做。""关键成员发生了事故，将至少住院两个月"" 

这个算未知风险。不好识别

很难去避免。但本质上，一件事情不能只有一个人干",,
119,敏捷看板,"客户支持团队 
在敏捷中，一般用看板，团队没有 PO。",,
120,,新的项目发起人要求在审查项目范围之前暂停项目。,,用排除法
121,快速跟进,"由于无法预料的风险发生，必须在目标日期前交付的项目已经延迟。


",,快速跟进项目是指将正常情况下按顺序进行的活动改为并行进行，这样可以在不改变项目范围的前提下，通过调整工作的执行顺序来压缩项目工期，有可能确保交付日期不受影响。
124,变更题,"客户的一位干系人每周都要求对范围进行更改。

走变更流程

面对客户干系人频繁要求变更项目范围的情况，项目经理需要采取一系列措施来有效管理变更请求，并保持项目目标和干系人期望之间的一致性。",,
129,风险管理,"风险管理：目经理应如何降低与这些外部依赖相关的风险？

题干中已经识别了风险。管理风险

识别--分析--应对",,
133,领导风格,"仆人式领导：就是促进项目团队之间的协作

授权型领导：就是啥也不管， 团队非常的成熟，很有经验。

指令型领导：啥事都管的那种。团队刚组建的时候，能力也不行，态度也不行。",,
137,风险管理,"运营支持团队最近加入了许多新成员，他们对项目不熟悉
该怎么做来减轻这种过渡风险？

让他们尽早参与到项目中",,
141,,"营销经理：部门的一些关键成员在接下来的3个月内将无法参与实施工作。

营销经理说没人，项目组内搞不定的只能找 “发起人” 解决问题",,"排除法

解决不了的问题才找发起人"
142,"合规问题
进度压缩","题干：
1. 必须经过行业的监管，
2. 希望尽快推出。

两个内容都要覆盖掉

聘请专家只能解决合规",,
147,风险,"项目经理在预防这种情况时应该怎么做？预防就是风险。
按照风险流程：
识别->分析->应对",,
154,沟通和培训,"对于一些在国外工作的团队成员： 
沟通，文化差异，虚拟团队

国际团队的成员能力不行",,
158,冲突管理,"有了冲突，也有冲突原因。

发现冲突，分析根因，解决问题",,
160,故事点,"题干:有些活动估算为两个故事点，而其他活动估算为100个故事点。 

有些故事点太大了，需要拆解

将较大的活动分解成更小的部分。Epic -> Task",,
164,每日站会,"一个项目已经停滞不前。项目经理应该做什么来使项目重新回到正轨？

项目停滞时，首先需要做的是识别和理解导致项目停滞的具体原因或障碍，与项目团队合作，深入了解导致项目停滞的障碍，可以帮助项目经理获得必要的信息，以制定有效的解决方案

A: 	在每日站立会议上审查每个障碍的状态。(每日站会不干这个)
",,排除法
172,问题流程,"发起人觉的大家应该集体办公，但是客观情况是很难的。

分析问题，解决问题",,
174,规划质量,"发起人要求项目经理提供稳定的计量方法： 制定质量测量基准。

",,排除法
,,,,
,,,,
,,,,
