错题解析,模拟 5,,,
35,沟通管理,"沟通管理。远程团队。沟通和文化差异。
沟通一般选择大而全的选项 不选小而精的
C: 项目协作平台 是团队内部的工具
D: 合适

这种情况下，项目经理应该修改项目沟通计划，以更好地满足客户的要求，确保客户能及时了解项目背景和决策过程，缓解客户的不安。

C选项鼓励客户使用项目协作平台只是一种方式，但不能完全满足客户对项目背景和决策过程的了解需求。",精讲《过程组：实践指南》159 节,
37,管理储备,"管理储备是为了应对项目中的未知风险和未计划的工作而预留的资金，在预算少的情况下，为无法预料的情况预留资金，除了考虑预算，还应考虑管理储备。

管理储备： 无法预料的情况 -> 未知风险
应急储备： 已知已知风险

D选项工作量成本与为无法预料情况预留资金关系不大。",精讲《过程组：实践指南》78 节,"必考
应急储备和管理储备"
39,PMO,"项目管理，合规流程， 共享资源协调的问题都咨询PMO


A. PMO（项目管理办公室）通常掌握组织级流程、政策及历史项目资料，向其请求确认可直接获取相关信息，快速明确流程要求，为确定交付标准提供依据。

C. 仅作为风险记录并储备资金，未解决 “如何确定交付标准” 的根本问题，属于被动应对，可能导致计划阶段标准模糊，后期因合规问题返工，无法从源头解决团队困惑。",精讲《项目管理知识体系第七版》2 节,
40,奖励,"该奖励的时候就奖励， 不在 ABD 的时候奖励， 直接选 C。 实时奖励

在项目生命周期内给团队成员予以奖励可以持续激励团队成员提高绩效，从而有助于交付项目目标。

D选项在团队成员完成里程碑任务后予以奖励，不如在项目生命周期内持续奖励全面",精讲《过程组：实践指南》130 节,
51,沟通规划,"沟通规划

在敏捷项目中，分析确定干系人的沟通需求，并鼓励团队就沟通策略达成一致是比较合适的做法。
C: 分析需求，鼓励达成一致 （正确）
A - 错
D - 不现实
B - 没有 分层沟通方法 这个说法。不同层级的人就会有区别么？",精讲《过程组：实践指南》89 节,
65,绩效指标,"C选项正确。在大型基础设施建设项目中，为了有效地测量项目进度、成本绩效等关键绩效指标（KPIs），制定详细的测量计划是必要的。

A选项依赖成员的自我评估来收集绩效数据可能不准确且不全面。",精讲《过程组：实践指南》47 节,
69,燃尽图,"A. 燃尽图以可视化图表展示剩余工作量随时间的变化趋势，能直观呈现进度是否偏离计划，适合快速向干系人传递宏观进展（如是否存在延期风险），符合敏捷 “工作可视化” 原则，但需配合解读以避免图表误读。

C. 状态板（如任务看板）用于团队内部跟踪任务状态（如 “待办”“进行中”“已完成”），侧重微观执行细节，干系人难以从中获取项目整体进度、风险等高层级信息，且未体现主动沟通行为。",精讲《敏捷实践指南》39 节,
72,故事图和影响地图,"故事图（Story Mapping）可视化用户旅程和功能流程，帮助展示产品的整体叙事；影响地图（Impact Mapping）则连接业务目标、角色、影响和交付物，确保工作对齐价值。

构建路线图并通过迭代评审会议展示，可以重新对齐相关方的期望，阐明项目未来方向和优先级，解决为什么这些特性重要以及项目将走向何方的疑问。

这直接针对相关方不满的根源——期望不匹配，并促进透明沟通，防止未来迭代中出现类似问题。",精讲《敏捷实践指南》41节,
75,团队速率,"发起人不清楚团队进度情况。（燃尽图，燃起图，看板， 累计流量图等）， 但是题内没有， 排除法

不了解项目当前的情况，也不了解未来什么时候上线。

发起人想了解能不能如期完成。

B 和  D 看不到未来什么时候能上线
选项D‌：功能演示适用于迭代评审会，但首次迭代成果有限，无法回答整体时间问题。","
精讲《敏捷实践指南》33节",
79,,"只能用排除法
项目发起人通常掌握项目的战略目标、核心价值主张以及关键相关方的期望，可以跟产品经理一样，具有业务话语权。

A 敏捷教练不能搞定需求的排序，这里不对
B 项目经理可以与发起人深入讨论，临时替代产品经理的角色。
C 缺乏经验，也没有以往的经验
D ",精讲《过程组：实践指南》103节,"类似 145

只能用排除法"
80,监督沟通,"按照沟通管理计划重新沟通， 或者修订沟通管理化


选项C（向PMO强调沟通重要性）‌：虽能推动PMO行动，但属于间接方案（需依赖PMO执行），若PMO响应慢则问题持续，无法快速解决团队当前困惑。
联系 PMO 解释，就是等他去行动， 应该 PM 主动行动",精讲《过程组：实践指南》159节,
83,规划绩效域,"未记录的变更请求，变更请求为啥没有记录还被执行。变更流程有问题。变更管理计划有问题。
变更管理计划什么时候制定： 规划过程。对应规划绩效域。

题干中 未记录的变更请求 正体现了变更管理流程在规划阶段的缺失，属于规划绩效域执行不足。",精讲《项目管理知识体系第七版》10 节,
90,问题的流程,"个人：态度和能力。能力不够
问题的流程：“工作很努力，但是完成不了工作任务”
工作很努力，但是完成不了工作任务， 能力不足
D: 你不能直接越过职权去直接培训
C: 其他选项中包括培训，也有可能有更好的 （大而全）",精讲《过程组：实践指南》117节,不能越权直接拉人去培训
93,风险的应对策略,"项目经理通常无法直接干预供应商的交付流程（如生产排期、物流管控）。高层管理人员拥有更广泛的资源和谈判能力。

A 接受，被动接受不好 （如果是利用应急储备， 那比 D 好）
B 当成问题处理，这里当成交付一定会发生。错误。
C 购买保险应该解决成本风险。
D 超出了能力管理范围之外， 上报高级管理人员，有更多的资源",精讲《过程组：实践指南》103节,
94,合规,"合规需求应该被遵守。

选项B把该合规纳入已完成的定义DOD中：DoD的定义应该由产品经理完成，而非项目负责人。",精讲《项目管理知识体系第七版》2节,
95,共享资源,"PMO 只能解决共享资源管理
在共享人才的模式下，资源（如开发人员、设计师等）由项目管理办公室（PMO）或资源池统一协调和分配，项目经理通常不直接控制资源。
‌
选项A向项目发起人请求更多人才资源‌：这不是优先行动。
发起人通常关注战略层面，而非操作细节。
在资源协调机制未修复的情况下，请求更多资源可能无效（新资源也可能被随意调走），且可能被视为项目经理未先尝试内部解决。",精讲《过程组：实践指南》19节,
99,挣值报告,挣值报告能全面、量化地呈现已完成工作的价值、进度和成本绩效，是满足发起人 了解详细已完成工作 需求的最佳选择。,精讲《过程组：实践指南》152节,
101,转型,通过明确资源需求和开发策略，确保外包资源能有效支持敏捷项目的推进，同时兼顾公司向敏捷转型的目标。,精讲《过程组：实践指南》111节,
102,,"目经理应聚焦于 如何让成员的意见有效传递，而非 强迫其在会议上发言。通过个性化沟通找到适合的反馈方式，既能保障信息畅通，又能维护团队和谐。
不愿意在会议上发言， 鼓励发言
A: 光鼓励没用。如果是惧怕被惩罚。就没用
B: 对症下药
C: 只能振奋士气，不能解决题干的问题
D: 强迫，不对",精讲《过程组：实践指南》89节,排除法
109,风险流程,"导致进度严重滞后，无法按时交付。（问题）为避免此类情况再次发生（风险）

A: 风险管理计划没有相关的策略
B: 不对
D: 走变更",精讲《过程组：实践指南》105节,"风险管理计划不对， 应该是风险登记册

风险管理计划没有相关的策略"
111,,"团队B的交付成果是团队A的直接依赖，此时最关键的是通过协作找到临时解决方案（如简化版本、功能拆分、阶段性交付等），减少对团队 A的影响。

与团队 A共同制定替代方案，既能体现对依赖关系的重视，又能快速响应问题，避免延误扩大，符合敏捷或跨团队协作中 主动解决依赖 的原则。

上报发起人属于升级
",精讲《过程组：实践指南》63节,
112,看板,"看板可以直接通过可视化、动态调度解决资源浪费的策略。

选项A滚动式规划‌：在预算批准后，需求已基本锁定，此时细化需求对资源浪费的管控无效",精讲《敏捷实践指南》37节,
113,"虚拟
培训","官方希望面对面，但是钱不够

A.	选拔各领域经验丰富的团队成员参与面对面培训，再由其向团队内部分享知识
C.	为每个地区指定一名代表参加面对面培训，由其负责对本地团队进行二次培训

区别是 A 选拔的人员可能集中再同一个地区，导致无法覆盖到所有的员工",精讲《过程组：实践指南》118节,
115,项目章程,"项目章程是项目的 宪法，包含项目的正式授权、高层级目标、边界、关键相关方及初步需求等核心信息。
通过审查项目章程，可先明确项目的基础框架（如为什么做、做什么、不做什么），为对齐相关方需求和定义项目边界提供依据，是解决当前问题的源头性动作。

项目章程：
关键相关方的需求尚未完全对齐 - 可能是风险
A 强制 NO
C 和 D 都是规划过程组做的事情。都在 B 后面 B -> D -> C",精讲《过程组：实践指南》38节,"
"
117,,"他们的需求各自不同

通过分类管理和定制化沟通规划，实现对不同层级干系人的精准沟通，保障项目信息高效传递。",精讲《过程组：实践指南》89节,
120,,交付后发现缺陷时，优先向客户坦诚沟通并分析影响，是维护客户关系、确保问题有效解决的前提，后续再结合团队分析和资源协调推进解决，符合项目管理中 以客户为中心 和 责任闭环 的原则。,,
121,,"产品路线图明确了产品的长期愿景、各阶段发布目标（包括第一次发布的核心功能和时间节点），是定义第一次发布范围和优先级的核心依据，直接指导发布规划，属于关键输入。
待办事项列表包含了具体的用户故事、功能需求及优先级排序，第一次发布的内容需从代办列表中选取（通常是高优先级且已就绪的事项），是确定发布具体内容的直接输入。",精讲《敏捷实践指南》28节 & 34节,
122,敏捷流程,"先确认数据泄露的问题到底影响情况有多大，然后再按照问题流程处理

问题处理流程
先记录问题，再分析问题根因，再记录到问题日志，再制定解决策略，再记录策略，再执行",,"考过
经是问题，不是风险了"
123,规模翻倍,"规模翻倍的核心矛盾是成本风险量化‌，直接依赖历史数据进行应急资金校准是高效且合规的做法。
规模翻倍后，应急储备（contingency reserve）的比例可能需要调整，
而非简单翻倍（例如：原项目应急资金占比10%，新项目可能需12%而非20%）。",,排除法
125,细化会议,"回顾会议不干这个

细化需求是 PO 要做的",,
127,沟通题,"缺乏实质性反馈机制‌确实是问题的核心，
而 ‌A（要求采购部门提供确认邮件）‌ 正是直接解决这一痛点的措施。

沟通题。 信息传递不畅。项目经理发了， 但是供应商没有收到
邮件是推式沟通，但有可能没有看到。先要把沟通这件事情做好。
A: 先做好沟通
B, D 跟踪采购进度，但不能解决沟通的问题
C 首要解决供应商辩解称 的问题。 而不是亡羊补牢。去当风险",,
129,培训,,,发起人支持可以， 但让他选就是甩锅
134,收尾流程,"项目关闭后，新增需求属于‌新商业机会‌，需启动新项目流程。

收尾流程， 这时候项目已经准备解散了。
这时候不再增加 待办事项列表， 也不再加入到项目中。
C: 不能再统一客户要求了",,
140,,让即将退休的成员指导接替者，是利用现有资源解决技能缺口、确保工作连续性的最直接有效方式，既能降低风险，又能实现知识传承，符合项目资源管理的核心目标。,,
141,,"要求运营总监单方面定义标准，缺乏协商和流程改进，不全面。
光有 D 是不够的，选 C
让运营团队的人时时刻刻参与进来",,做过类似的
145,,"紧急的项目中，要求进行产品的优先级排序。项目经理并没有敏捷经验

没时间自我培训了",精讲《敏捷实践指南》18节,类似问题的见 79
146,职业道德,当存在实际或潜在利益冲突时，必须向相关方披露并回避决策过程。,,
151,,解决部署后出现的大量 bug，首要任务是联合客户和开发团队明确问题优先级，确保资源集中在最关键的修复工作上，这是快速响应客户诉求、控制问题影响的核心动作。,,
155,项目治理,"项目治理， PMO 定流程。具体什么事情应该找谁，要找 PMO

C： 项目的章程 没有治理流程，所以不能查看这个",,
156,变更流程,"题干中 <变更流程> 本身有问题，任何人都可以提交变更， 但题干中 “首席开发人员需要得到发起人的正式指令才能发起变更”， 这里做错了。

ABD 都是变更流程了
A - 不能直接发起变更
B - 讨论分析
D - 说紧迫性没用

先检查变更流程
C - 核查变更流程",,
162,LeSS框架项目,LeSS框架项目 本来就是持续化集成,,
164,,,,
165,,,,
166,,通过自动化工具（如基于代码注释生成 API 文档、集成开发环境（IDE）插件自动同步变更记录等），可在代码开发过程中实时生成合规文档，实现 开发即文档，既满足法规要求，又避免团队重复劳动，从根本上解决文档耗时问题，是兼顾敏捷效率与合规性的最佳方案。,,
168,敏捷项目经理的职责,"A: 控制进度转向拥抱变化，对事，没有关系到团队
B: 有效协调多团队： 赋能
",,
169,每日站会,"关键字“站立会议上被其他人公开批评”，
敏捷教练应该提醒团队成员遵守每日站会的规则，不能讨论，而会议规则也会写在团队章程中

每日站会
站会上不能指指点点， 不能讨论
A: 前半句对了，后半句不讨论障碍了， 这不行
D: 争论中让团队不要在站会中讨论。（可以放到会后）",,
171,"采购工作说明书
（采购 SOW）","工作说明书是合同的核心组成部分，详细描述了项目所需交付的产品、服务或成果的具体要求，包括性能指标、质量标准、验收标准等关键细节。在固定总价合同中，供应商的交付义务完全基于 SOW 的约定。当双方对 是否符合合同要求 产生分歧时，SOW 是最直接的判定依据，需优先查阅以确认性能指标的具体约定。

“但坚持认为符合合同要求” 那就去查看合同
工作说明书 包含合同的附件
B 需求跟踪矩阵：可当需求文件，可以跟踪需求变更
D 供应商绩效报告：过程中的绩效。（供应商交付的模块， 已交付）",,
173,"建设团队的内容
","保护团队成员免受内部和外部分歧的影响

内部分歧需要引导， 而不是隔离 
排除法
A: 相当于写团队章程
B: 也是对的
C: 不对，不能随便雇人。
D: 分歧和冲突不见得都是错误的， 内部分歧有时候有好事。（不受障碍， 干扰才对）
E: 激励正确",,排除法
176,变更流程,"A: 先制定干系人策略，再执行干系人参与。 A 在 B 后 （新增干系人可能需引入审计资源，直接影响项目范围、成本或进度，要走风险流程。而不是管理干系人）
B: 走变更流程 （正确）
C: 和质量无关
D: 风险管理计划 错， 是风险登记册
",,
178,项目章程,"项目的最早期，得看项目章程。项目章程包含，高层级风险。
B, C, D 都不在启动阶段
B属于监控过程组，排除。CD均属于规划过程组，排除。",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
