错题解析,,,,
题目,考点,解析,章节, 备注
86,风险,"问题已产生， 防止发生, 风险流程：

先分析再做计划
先做 B 再做 A。",精讲《过程组：实践指南》89 节,
88,需求价值的优先级排序,"需求价值的优先级排序
排除法

A: 团队的需求不是价值
B: 按照可实现程度 这不是价值
C: 所有外部干系人和项目发起人列出的需求， 这不太可能，全部找出来就不可能。也没有 PO 同意
D: 这才是真正的价值 (必要且充分)",精讲《敏捷实践指南》32 节,
91,,"项目经理一直在向团队成员说明错误，但情况并没有改善：反复说，但没有用， 那就上报（考没有用怎么办）
A: 持续说明，没用
C: 要求客户去反馈，不对
D: 提高自己的软技能，也不是项目经理自己的关系",精讲《过程组：实践指南》103 节,
92,风险管理,"感到担忧： 风险管理

A: 这个就晚了，规划前就该做
B: 应该先自己去了解，再让后团队去收集（甩锅）先C后B
D: 直接接受这个风险了，消极

C: 自己去审查项目章程，项目章程内有高层及风险的内容（识别风险）
",精讲《过程组：实践指南》38 节,
98,积极风险,"项目经理应该做什么来实现 积极风险 = 机会
5种关于机会的应对策略, 确保机会一定会实现
考的是开拓，知识点考题
A: 分享
B: 开拓 <---- 这才是最好的
C: 提高
D: 接受",精讲《过程组：实践指南》103 节,
99,"敏捷的变更
优先级排序","A: 就是排序，直接选
B: 敏捷没有变更管理计划
C: 变更无法避免
D: 跟题干无关",精讲《敏捷实践指南》28 节,
100,风险管理,"如何处理每项顾虑： 风险

A: 分析，定性。先做
B: 制定策略。先制定了缓解策略，后做
C: 无关
D: 定量，也在 A 的后面",精讲《过程组：实践指南》105 节,
104,"团队章程
基本规则","组建高绩效团队。通过讲基本的规章制度
C -- B -- D

C: 为团队制定共同目标
A: 应该发起人来做
B: 可以做，但在 C 的后面
D: 可以做，但在 C 的后面",精讲《过程组：实践指南》85 节,
109,敏捷的项目章程,"他们不知道目标这个事情，写在项目章程中。

A: 虽然不知道项目目标，但是要知道项目的deadline , 这个属于强迫
B: kickoff 会议有章程的展示 -> 开工会没有做好。 需要补一个开工会
C: 也是强迫，强调职责，不需要了解目标
D: 没有解决的问题也没有问题。
",精讲《敏捷实践指南》23 节,
113,问题流程,"质量低于预期，任务延期， 质量不达标。 
分析问题。解决问题

C: 质量审查应该先做，本身不用获取干系人的批准， 应该拿结果是结果去审查。
D: 没有 技术债务代办事项列表 这个东西
A: 更早的发现问题
B: 并行工作不行",精讲《过程组：实践指南》117 节,
119,燃起图,"通过什么可以看到范围变更。 敏捷的变更不影响当前的迭代。会影响后续的迭代。
A: 速度曲线是速率， 已完成的差异， 这个看的是效率的变化。
B: 这跟范围变更无关
D: 未完成事项不一定是范围变更引起的。 
C: 燃起图，一般都在发布计划中用燃起图， 针对产品待办列表。一般持续几个月。在整个发布计划中可能会遇到范围变更。（去看书）",精讲《敏捷实践指南》39 节,
122,,,,
123,,,,
125,,,,
126,沟通管理计划,"题干： 应该参与但没有参与。 决策他不知情。
他必须参与但是没有参与。可能没有人通知他参与。是干系人参与

C: 首先让他参与进来

如果改为：
一个普通的干系人，不需要决策，只需要收到成果，但是不知晓。
选 B 就对了","
精讲《过程组：实践指南》164 节",
127,,,,
129,,,,
135,自组织团队,"特点：轮流主持。一旦犯了错，是团队的责任，不是个人的责任。

B: 追究个人责任， 不选
A: 不是自组织
C: 就是去中心化的表达
D: 还是让某人负责",精讲《敏捷实践指南》19 节,
136,流程题,"关于流程的题，可以用排除法。

A: 还没到这步， 没说员工的能力问题
B: 还是培训，没说知识不满足
C: 寻找高层支持，才能保证新的敏捷项目推进。（项目发起人可能不是高管） 
D: 更远的计划了",精讲《敏捷实践指南》48 节,
137,,,,
138,职业道德,"描述，由于个人的身体疲劳之类。人性的问题。体贴和共情。 不能拒绝。
C: 不能两全其美，这就是在违背道德。老外认为该休息就要休息，不能混在一起
D: 先做好 A 再做好 D
B: 不行
",精讲《过程组：实践指南》26 节,
140,成果归属争议,"A: 就是明确成果归属
C: 没用",精讲《过程组：实践指南》131 节,
141,,,精讲《过程组：实践指南》51 节,
143,"代办事项列表
敏捷进度计划","不清楚自己的需求何时能交付，并表现出对进度的担忧。进度，优先级

A: 每日站会不共享优先级（每日站会都是技术性的展示）
B: 他的需求未必在本迭代中体现
C: 传统项目管理
D: 共享了优先级，路线图包含需求执行的情况（进度）",精讲《敏捷实践指南》34 节,
145,合规要求,"将合规当成质量标准，质量审计是发生在 质量管理计划中
AB， 审计都是之后进行的
不选未批准备的",精讲《项目管理知识体系第七版》2 节,
154,敏捷的变更,"敏捷的变更就是让PO添加代办列表，并排序

A:  如果是风险登记册，也不能更新问题，错",,
155,,"评估成员，态度，能力

题干是 态度没问题，就是能力有问题，看有没有培训
A: 能力问题，不缺激情
B: 奖励不发个人
C: 赞扬，精神上鼓励。希望团队成员不要因为他差，而却批评（正确）
D: 能力不够， 不能安排",精讲《过程组：实践指南》130 节,
157,挣值管理,"A  计算投资回报率: ROI是财务指标，用于衡量投资的长期收益（如ROI = (收益 - 成本) / 成本）见 商业论证
B: 不是风险
C: 不能用实际成本和计划成本进行比较 CV = EV(基于实际的工作量对应的计划成本)/AC
D: 成本绩效指数：CPI （对的）",精讲《过程组：实践指南》154 节,
162,敏捷的变更,"这题应该安传统还是敏捷？
排除法
A: 不能更新项目章程
B: 应该是OK的
C: 不能更新变更控制流程文档，（换成更新变更日志或者变更申请单）
D: 更不对了",精讲《敏捷实践指南》28 节,
163,,"排除法
A: Dod 中加入合规。正确
B：额外：不对
D: 推迟不对
C: 对",精讲《敏捷实践指南》25 节 & 41 节,
168,自组织团队,"所有工作都是团队自主认领，没有分配
A: 错误
D: 这里是项目经理来进行分配，不对",精讲《敏捷实践指南》19 节,
169,问题流程,"题干：项目经理意识到团队未对一项已告知的合规性问题进行处理
团队没有关注合规性

分析问题 - 解决问题

A: 讨论解决方案，分析问题
C: 题干是已经交付，但C是交付前。不对
D: 题干中已经是问题了。不用再分析了
",精讲《过程组：实践指南》117 节,
171,自组织团队,"表现出浓厚的兴趣：得支持，但是出了问题， 花时间太多
不是项目经理去改，而是团队一起去改

A: 时间来不及了， 固定时长更来不及
C: 工作外的时间（加班）
D: 不合适
B: 有问题大家一起搞定。 团队一起决策",精讲《敏捷实践指南》19 节,
172,自组织团队,"项目团队负责人尝试分配任务； 不应该他做的事情做了。
排除法：

B: 不应该委派,应该是自选工作
C: 题干问敏捷项目经理应该怎么办。对象有问题。（项目团队负责人应该加强授权， 不是给项目经理加强授权。）
D: 应该团队定义决策，不是项目经理决策。",精讲《敏捷实践指南》18 节,
173,变更流程,"大型项目。
预可研分析 （分析项目是不是值得做） 然后做， 可行性研究分析（具体话到底能赚多少钱）

简单的项目两者可以合二为一

B: 获得一个同步开展活动的批准，然后一起开展。（获得批准，就是走变更流程）
D: 不行，违反合规。
A: 无法确保。只能等待
C: 预可行性研究 可纳入 可行性研究活动。 反了",精讲《过程组：实践指南》146 节,有陌生的知识。但是可以走变更流程来应对
174,敏捷负责人的职责,"题干：团队和发起人没有达成共识
项目经理应该推动共识

B: 推动共识
A: 当个传话员。直接告知（没有分析）
C: 没关系
D: 甩锅。项目经理啥都不做。
",精讲《敏捷实践指南》19节,
176,敏捷变更,"排除法：

A: 直接接受不对
B：加代办排序（对）
C: 搁置
D: 安排团队成员不对， 没这个权利",精讲《敏捷实践指南》17 节,
,,,,
,,,,
